show,title,href,id,show_abbrev,show_c
First Move with Julia Chatterley,Magnitude 7.0 Quake Hits Aegean Sea Near Greece and Turkey; Trump and Biden Visit Crucial Swing States in Final Sprint; E.U. Economy Grows Record 12.1 Percent in Third Quarter. Aired 9-10a ET,/TRANSCRIPTS/2010/30/fmjc.01.html,55201,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"Three Killed in Knife Attack At Church in Nice, France; U.S. GDP Bounces Back after Q2s Historic Plunge; France and Germany Announced New COVID-19 Lockdowns. Aired 9-10a ET",/TRANSCRIPTS/2010/29/fmjc.01.html,55202,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"Global Stocks Fall Amid A COVID Case Surge; European Leaders Take Steps To Contain The Virus; CEOs Of Facebook, Twitter And Google Facing Lawmakers Over Liability Laws. Aired 9-10a ET",/TRANSCRIPTS/2010/28/fmjc.01.html,55203,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,COVID Fears And Election Uncertainty Equals More Volatility; One Week Until The U.S. Election And Over 60 Million Votes Already Cast; HSBC Shares Jump As The Bank Says It May Resume Dividend Payout. Aired 9-10a ET,/TRANSCRIPTS/2010/27/fmjc.01.html,55204,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,U.S. Cases Hit Records Just Eight Days Away From the Presidential Election; Beijing Begins Mass Testing after Finding a Single Asymptomatic Case; European Governments Take Drastic Steps to Contain the Virus. Aired 9-10a ET,/TRANSCRIPTS/2010/26/fmjc.01.html,55205,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"Negotiators Make Progress On Relief Aid, But Is The U.S. Senate On Board?; Netflix Growth Slows As The Lockdown Boom Fades; The Hong Kong Airline, Cathay Pacific, Is Slashing Jobs And Closing Its Regional Carrier. Aired 9-10a ET",/TRANSCRIPTS/2010/21/fmjc.01.html,55206,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"Lawmakers Still in Deal Deadlock Just Hours before the Democrats' Deadline Ends; The Final Presidential Debate Will Use a Mute Button; Two Countries, Two Vaccines, a Spotlight on Efforts to Find a Way Out of the Pandemic. Aired 9-10a ET",/TRANSCRIPTS/2010/20/fmjc.01.html,55207,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,The Chinese Economy Grows 4.9 Percent In The Third Quarter; Democrats Just Have Hours Left To Agree To A Stimulus Deal Before The U.S. Election; Italy Announces Tough New COVID-19 Virus Restrictions. Aired 9- 10a ET,/TRANSCRIPTS/2010/19/fmjc.01.html,55208,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,Stocks Suffer Amid the U.S. Stimulus Standoff; President Trump and Joe Biden to Compete in Rival Town Halls; Microsoft Discusses its Cybersecurity Efforts to Protect Election Integrity. Aired 9-10a ET,/TRANSCRIPTS/2010/15/fmjc.01.html,55209,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,Nancy Pelosi Blames Republicans as Bailout Talks Falter; Apple Announces Four New Phones that are 5G Ready; Another COVID Vaccine Trial Halted on Safety Concerns. Aired 9-10a ET,/TRANSCRIPTS/2010/14/fmjc.01.html,55210,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,U.S. Stimulus Talks Continue with Mixed Signals on All Sides; China Says a Surge in Domestic Tourism is a Sign that COVID is Contained; The U.S. Gulf Coast Bracing for yet Another Hurricane. Aired 9-10a ET,/TRANSCRIPTS/2010/09/fmjc.01.html,55211,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,President Trump Ends Stimulus Talks Then Calls For Targeted Aid Deals; Airlines Warned Jobs Will Vanish Without More Government Help; Congress Sees Monopoly Powers And Reasons For A Big Tech Breakup. Aired 9- 10a ET,/TRANSCRIPTS/2010/07/fmjc.01.html,55212,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,Both Presidential Recovery and Stimulus Hopes Calm Global Stocks; Donald Trump's Doctor Say He Could be Discharged as Early as Today; COVID Rules and a Lack of New Movies Force Hundreds of Theaters to Close. Aired 9-10a ET,/TRANSCRIPTS/2010/05/fmjc.01.html,55213,fmjc,first_move_with_julia_chatterley
