show,title,href,id,show_abbrev,show_c
Cuomo Prime Time,"Biden: ""We Will Act, On The First Day Of My Presidency, To Get COVID Under Control""; Trump Complains About Coverage Of ""COVID, COVID, COVID...""; Polls: Young Voters Favor Biden, Turning Out In Record Numbers. Aired 9-10p ET",/TRANSCRIPTS/2010/27/CPT.01.html,15843,CPT,cuomo_prime_time
Cuomo Prime Time,President Trump Speaks At Judge Amy Coney Barrett's Swearing-In Ceremony; Amy Coney Barrett Sworn In As Supreme Court Justice; Coronavirus Outbreak Worsens As Election Nears. Aired 9-10p ET,/TRANSCRIPTS/2010/26/CPT.01.html,15844,CPT,cuomo_prime_time
Cuomo Prime Time,"Biden Says Trump Has ""Quit On America"" With His Mishandling Of Coronavirus Pandemic; U.S. Again Tops 70,000 COVID-19 Cases In Single Day, Trump: ""We're Rounding The Corner Beautifully""; Trump Administration Quick To Sanction Iran For Election Interference, But Silent On Russia's Continued Targeting Of 2020 Race. Aired 9-10p ET",/TRANSCRIPTS/2010/23/CPT.01.html,15845,CPT,cuomo_prime_time
Cuomo Prime Time,"Feds Say Russia And Iran Have Interfered With The Presidential Election; Obama Goes After Trump In Sharpest Attacks Yet With 13 Days Left In Election; CDC Revises Definition Of Close Contact With COVID- 19 Sufferers To Include Multiple, Brief Exposures. Aired 9-10p ET",/TRANSCRIPTS/2010/21/CPT.01.html,15846,CPT,cuomo_prime_time
Cuomo Prime Time,"Trump Slams Debate Moderator Kristen Welker As ""Terrible"" & ""Totally Partisan""; Voter Intimidation In Florida & Alaska As E-mails Threaten Voters; Former Longtime Trump Associate Releases Scathing Tell-All Book. Aired 9-10p ET",/TRANSCRIPTS/2010/20/CPT.01.html,15847,CPT,cuomo_prime_time
Cuomo Prime Time,"Trump Attacks Dr. Fauci Repeatedly With 15 Days Left In Election; Trump Jab At Biden: ""He'll Listen To The Scientists""; Supreme Court Rejects GOP Attempt To Require Mail-In Ballots Be Received By Election Day In Pennsylvania. Aired 9-10p ET",/TRANSCRIPTS/2010/19/CPT.01.html,15848,CPT,cuomo_prime_time
Cuomo Prime Time,"Breaking Down Dueling Biden, Trump Town Halls; White House Was Warned Giuliani Target of Russian Op to Feed Misinformation to Trump. Aired 12-1a ET",/TRANSCRIPTS/2010/16/CPT.17.html,15849,CPT,cuomo_prime_time
Cuomo Prime Time,"Biden Makes His Case On Coronavirus Response; TX Judge Strikes Down Governor's Order Limiting Ballot Drop Boxes; Ice Cube: ""Black People Have No Capital"". Aired 9-10p ET",/TRANSCRIPTS/2010/16/CPT.01.html,15850,CPT,cuomo_prime_time
Cuomo Prime Time,"Trump, Biden Appear In Dueling Town Halls After Nixed Debate; President Trump On Whether He Was Tested For COVID-19 Before The First Presidential Debate; Democratic Presidential Candidate Joe Biden On Court-Packing. Aired 9-10p ET",/TRANSCRIPTS/2010/15/CPT.01.html,15851,CPT,cuomo_prime_time
Cuomo Prime Time,Melania Trump Reveals Son Barron Had Coronavirus; DoJ Sues Former Melania Trump Aide Over Tell-All Book; Osama Bin Laden Raid Veteran Rob O'Neill Dismantles Trump's Baseless Conspiracy Boost. Aired 9-10p ET,/TRANSCRIPTS/2010/14/CPT.01.html,15852,CPT,cuomo_prime_time
