show,title,href,id,show_abbrev,show_c
The Lead with Jake Tapper,Georgia Recount; New York City Schools Close Amid Coronavirus Spike; Georgia To Announce Election Audit Results Tomorrow; Interview With Georgia Secretary Of State About The Election Audit. Aired 4:30- 5p ET,/TRANSCRIPTS/2011/18/cg.02.html,19147,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Trump Resisting Election Defeat Reality; Interview With Former NATO Supreme Allied Commander James Stavridis; Trump Orders Troop Drawdown in Iraq and Afghanistan. Aired 4-4:30p ET,/TRANSCRIPTS/2011/17/cg.01.html,19148,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Did Senator Lindsey Graham Try to Get Legal Georgia Votes Cast Out?; GOP Senators Appear to Congratulate VP-Elect Harris; Iowa Governor: COVID Hospitalizations Doubled Since November 1st. Aired 4:30-5p ET,/TRANSCRIPTS/2011/17/cg.02.html,19149,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Moderna Says Vaccine 94.5 Percent Effective; Biden Warns of Dangers in Transition Delay. Aired 4-4:30p ET,/TRANSCRIPTS/2011/16/cg.01.html,19150,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,U.S. Economic Outlook; Trump Set to Reduce Troop Presence in Iraq and Afghanistan; Oregon Governor Kate Oregon is Interviewed About the Coronavirus Pandemic; Russia's COVID Reality Not What Kremlin Portrays. Aired 4:30-5p ET,/TRANSCRIPTS/2011/16/cg.02.html,19151,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Trump Breaks Post-Defeat Silence; Interview With Rep. Jackie Speier (D-CA); Pandemic Exploding; Joe Biden Wins Georgia. Aired 4- 4:30p ET,/TRANSCRIPTS/2011/13/cg.01.html,19152,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Trump Touts Vaccine & Economy, Says No More Lockdowns. Aired 4:30-5p ET",/TRANSCRIPTS/2011/13/cg.02.html,19153,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Biden Names White House Chief of Staff; Trump Remains Out of Sight, Refusing to Concede. Aired 4-4:30p ET",/TRANSCRIPTS/2011/12/cg.01.html,19154,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Record 144,000 New Cases in One Day in U.S.; Karl Rove: Trump Lawsuits Won't Change Election Outcome. Aired 4:30-5p ET",/TRANSCRIPTS/2011/12/cg.02.html,19155,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Interview With Sen. Kirsten Gillibrand (D-NY); U.S. Seeing Record Number of COVID-19 Cases; Growing Alarm as Trump Denies Election Loss. Aired 4-4:30p ET,/TRANSCRIPTS/2011/11/cg.01.html,19156,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Focus on Georgia Senate Run-Offs; Votes Still Being Counted in Several States. Aired 4:30-5p ET,/TRANSCRIPTS/2011/11/cg.02.html,19157,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,COVID-19 Vaccine Available to All Americans By April?; Interview With National Institute of Allergy and Infectious Diseases Director Dr. Anthony Fauci; Trump Refuses to Acknowledge Election Loss. Aired 4-4:30p ET,/TRANSCRIPTS/2011/10/cg.01.html,19158,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Interview With Lt. Gov. Geoff Duncan (R-GA); Trump Refuses to Acknowledge Election Loss; Supreme Court Signals ACA Will Survive Latest Challenge. Aired 4:30-5p ET,/TRANSCRIPTS/2011/10/cg.02.html,19159,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Interview With Sen. Chris Murphy (D-CT); Biden Sets Up Coronavirus Task Force; Trump Fires Defense Secretary; Trump Refuses to Accept Defeat. Aired 4-4:30p ET,/TRANSCRIPTS/2011/09/cg.01.html,19160,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Pfizer Says Vaccine Over 90 Percent Effective; Trump Fires Defense Secretary; Georgia Secretary of State Refuses to Step Down, Says Trump ""Unlikely"" to Win Georgia Electoral Votes; Senate Majority Likely to be Decided by Two Runoffs in Georgia. Aired 4:30-5p ET",/TRANSCRIPTS/2011/09/cg.02.html,19161,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Biden, Trump Focus on Pennsylvania; Trump Suggests He May Fire Dr. Fauci in Second Term. Aired 3-3:30p ET",/TRANSCRIPTS/2011/02/cg.01.html,19162,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,The Road to 270; Trump Preparing Legal Challenges to Election Results. Aired 4-4:30p ET,/TRANSCRIPTS/2011/02/cg.03.html,19163,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Trump and Biden Are Neck and Neck in Battleground Florida; Key County in Arizona Critical to Election Results; Federal Judge Rules 127,000 Ballots Cast Via Drive-Thru in Texas Can Be Counted; Trump Floats Idea of Firing Fauci; Trump Backers Outspending on Ads in Georgia, North Carolina, Iowa And Arizona. Aired 3:30-4p ET",/TRANSCRIPTS/2011/02/cg.02.html,19164,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Republicans Lose Cases to Discount Legal Votes; Interview With Former U.S. National Security Adviser John Bolton. Aired 4:30-5p ET,/TRANSCRIPTS/2011/02/cg.04.html,19165,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"What Will Election Night Results Look Like?; As COVID-19 Crisis Grows, Trump Complains About Pandemic Media Coverage. Aired 3-3:30p ET",/TRANSCRIPTS/2010/30/cg.01.html,19166,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Biden Campaigns in Iowa, Minnesota, Wisconsin; Trump Continues Downplaying COVID-19 Pandemic. Aired 4-4:30p ET",/TRANSCRIPTS/2010/30/cg.03.html,19167,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Red and Blue Mirages to Appear in Early Election Night Results; Coronavirus Cases Surge in Every Battleground State; Trump holds Wisconsin Rally as Governor Urges People to Stay Home; Georgia Senator Backs Out of Debate to Campaign with Trump; U.S. Coronavirus Cases Surpass 9 Million. Aired 3:30-4p ET,/TRANSCRIPTS/2010/30/cg.02.html,19168,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Early Voting in Texas Surpasses Total Turnout in 2016; Trump's Senior Policy Adviser Vows Crackdown on Immigration in President's Second Term; Multiple States Report Record High Daily COVID-19 Cases. Aired 4:30-5p ET,/TRANSCRIPTS/2010/30/cg.04.html,19169,cg,the_lead_with_jake_tapper
